Targname,Catname,MJDstart, F(Si3),  E(Si3),  B(Si3),  F(N5),  E(N5),  B(N5),  F(C2),  E(C2),  B(C2),  F(Si4),  E(Si4),  B(Si4)
HD 128621,,2445465.3,-1.04E-12,1.76E-13,1.31E-12,-3.60E-13,5.09E-14,4.45E-13,2.57E-12,1.69E-13,-5.07E-14,1.43E-12,1.25E-13,3.65E-13
HD 128620,,2445472.3,-6.61E-13,3.78E-13,5.01E-12,-1.92E-13,3.78E-13,6.72E-12,2.59E-12,4.42E-13,5.42E-12,1.91E-12,6.04E-13,9.54E-12
HD 128621,,2445472.3,4.02E-13,1.75E-13,5.14E-13,3.47E-13,7.82E-14,5.04E-13,1.07E-12,9.61E-14,2.99E-13,7.86E-13,1.11E-13,9.84E-13
HD 128620,,2445472.4,-7.87E-13,2.32E-13,3.92E-12,-3.40E-13,3.20E-13,6.22E-12,2.74E-12,4.20E-13,5.18E-12,2.29E-12,5.87E-13,9.06E-12
HD 128620,,2445472.4,-5.10E-13,3.57E-13,4.48E-12,-2.67E-13,3.89E-13,7.01E-12,3.85E-12,4.91E-13,5.13E-12,2.58E-12,5.96E-13,8.67E-12
HD 128621,,2445472.4,5.88E-13,1.62E-13,3.26E-13,1.50E-13,7.24E-14,6.57E-13,9.42E-13,9.10E-14,4.00E-13,1.28E-12,1.06E-13,4.51E-13
HD 128621,,2445472.5,1.86E-13,6.78E-14,7.14E-13,7.78E-15,4.19E-14,7.47E-13,1.08E-12,8.81E-14,5.87E-13,5.31E-13,7.90E-14,9.86E-13
HD 128620,,2445479.4,-8.65E-13,4.32E-13,4.93E-12,-5.42E-13,3.11E-13,5.68E-12,3.25E-12,4.13E-13,4.05E-12,2.04E-12,5.33E-13,7.86E-12
HD 128621,,2445479.4,-9.69E-13,2.70E-13,1.48E-12,1.04E-13,5.32E-14,2.94E-13,8.25E-13,9.99E-14,5.91E-13,1.61E-13,8.93E-14,1.17E-12
HD 128620,,2445479.4,-1.36E-12,2.60E-13,4.74E-12,-5.83E-13,2.86E-13,5.87E-12,2.82E-12,3.93E-13,4.66E-12,1.76E-12,5.59E-13,9.09E-12
HD 128621,,2445479.5,2.54E-13,8.01E-14,7.94E-13,1.33E-15,4.41E-14,7.82E-13,1.26E-12,9.67E-14,5.56E-13,7.29E-13,9.69E-14,1.13E-12
HD 128620,,2445483.3,1.18E-14,3.26E-13,3.17E-12,-2.69E-13,1.96E-13,3.24E-12,1.10E-12,2.51E-13,3.16E-12,7.49E-13,3.14E-13,4.95E-12
HD 128621,,2445483.3,-2.92E-13,1.86E-13,9.27E-13,-2.64E-13,8.31E-14,1.13E-12,1.23E-12,1.44E-13,9.94E-13,1.65E-12,1.43E-13,6.88E-13
HD 128620,,2445489.3,-7.23E-13,2.61E-13,4.22E-12,-7.97E-13,2.71E-13,5.79E-12,2.25E-12,3.93E-13,5.17E-12,1.83E-12,5.35E-13,8.51E-12
HD 128620,,2445489.3,7.02E-14,3.87E-13,4.23E-12,1.97E-13,3.97E-13,6.68E-12,4.03E-12,4.77E-13,4.65E-12,2.53E-12,6.21E-13,9.21E-12
HD 128621,,2445489.3,7.78E-13,2.28E-13,8.59E-13,-5.63E-14,9.70E-14,1.06E-12,1.93E-12,1.63E-13,6.42E-13,1.61E-12,1.74E-13,1.31E-12
HD 128621,,2445489.4,3.09E-13,1.00E-13,1.02E-12,-1.07E-13,4.96E-14,9.81E-13,1.08E-12,9.80E-14,7.35E-13,5.25E-13,9.12E-14,1.21E-12
HD 128620,,2445787.2,-1.86E-12,4.01E-13,4.16E-12,2.17E-12,4.33E-13,4.90E-12,4.07E-12,5.17E-13,4.85E-12,3.64E-12,5.92E-13,7.22E-12
HD 128620,,2446596.1,1.18E-12,1.75E-13,-7.87E-13,3.34E-13,7.60E-14,3.98E-13,1.56E-12,7.69E-14,-6.22E-13,5.74E-13,7.35E-14,3.70E-13
HD 128620,,2446596.2,-1.41E-12,2.02E-13,2.23E-12,-2.50E-13,1.89E-13,2.91E-12,2.19E-12,2.53E-13,1.93E-12,2.13E-12,3.68E-13,4.52E-12
HD 128620,,2446596.2,6.46E-13,3.57E-13,2.87E-12,-2.05E-12,3.70E-13,8.19E-12,2.90E-12,4.64E-13,5.36E-12,3.88E-13,6.18E-13,1.11E-11
HD 128620,,2446596.2,-1.35E-12,1.72E-13,3.81E-12,-4.58E-13,2.67E-13,5.46E-12,3.01E-12,3.95E-13,4.56E-12,1.91E-12,5.01E-13,7.86E-12
HD 128621,,2446596.3,8.22E-13,1.71E-13,6.22E-13,2.79E-13,1.20E-13,1.48E-12,2.64E-12,1.96E-13,7.42E-13,1.17E-12,1.58E-13,1.57E-12
HD 128621,,2446596.3,3.75E-13,8.09E-14,7.62E-13,2.65E-14,4.74E-14,8.19E-13,1.84E-12,1.32E-13,6.35E-13,9.76E-13,1.09E-13,1.11E-12
HD 128621,,2446809.5,-9.62E-13,1.74E-13,1.24E-12,-6.51E-13,5.26E-14,8.57E-13,1.85E-12,1.51E-13,4.16E-13,1.47E-12,1.30E-13,4.73E-13
PD 128621,,2446809.6,-4.63E-15,8.15E-14,9.20E-13,7.67E-14,4.83E-14,7.96E-13,1.62E-12,1.15E-13,5.67E-13,8.06E-13,9.41E-14,1.00E-12
HD 128620,,2446809.7,-2.74E-12,3.78E-13,4.38E-12,-1.43E-12,3.00E-13,5.45E-12,2.48E-12,3.90E-13,3.32E-12,2.28E-12,5.22E-13,6.42E-12
HD 128620,,2446809.8,-4.10E-13,2.43E-13,4.08E-12,-8.02E-13,2.87E-13,6.23E-12,2.76E-12,3.88E-13,4.69E-12,2.60E-12,5.73E-13,8.62E-12
HD 128620,,2446810.5,1.10E-13,5.07E-13,3.84E-12,-1.92E-12,3.83E-13,7.59E-12,2.67E-12,5.12E-13,5.32E-12,3.28E-12,5.47E-13,5.89E-12
HD 128621,,2446810.6,-2.88E-13,2.71E-13,1.20E-12,-9.70E-13,5.93E-14,1.31E-12,2.50E-12,1.58E-13,-1.36E-13,-5.98E-13,7.95E-14,1.53E-12
HD128621,,2447579.9,-2.80E-13,2.37E-13,9.12E-13,4.10E-13,7.43E-14,4.14E-13,1.81E-12,1.46E-13,5.95E-13,1.08E-12,9.96E-14,4.88E-13
